作者,讚數,時間,連結,貼文內容
小刀的美食、旅遊世界粉絲團,3,4天,https://www.facebook.com/groups/traveler168/posts/1857716431410399,*113/04/18 位於花蓮縣玉里鎮大同路239號的「北方早點」，距這次住宿旅館「山鄰山林青年文旅」，走路才3分鐘，方便。今天來吃燒餅，燒餅想夾什麼可以隨便配，我選了梅干絞肉、醬燒豆干及炒韭菜花，口味及嚼感有層次，好吃。原先還想加個蔥蛋，發現燒餅好像很厚，就算了。加上1杯豆漿才60元，CP值很高耶！山鄰山林青年文旅：…… 查看更多
跟著領隊玩,8,1天,https://www.facebook.com/groups/traveler168/posts/1859439344571441,新竹縣輕親旅行秘境踏青輕旅行，油桐花開的愛情車站，漫步瀑布步道，享用高冷活魚特色餐，品嘗北角吊橋的美味下午茶，好客好品希望工場DIY體驗，漫步內灣老街買伴手禮喔！全文閱讀：https://taiwantour.info/hsinchu-trip/
黃琮傑,0,1天,https://www.facebook.com/groups/traveler168/posts/1859627137885995,每次在台北市玩，或帶外國、外縣市朋友來台北，去的地方總是那些嗎？提供大家一個新的旅遊方式不僅能一起用餐，中途還能在臺北信義區必打卡地標拍照適合朋友、家庭出遊、慶祝節日都適合風雨無阻喲～[臺北市雙層餐車] 來囉本次的餐點是和隱餐飲集團-隱世餐酒館  合作讓您體驗創意臺菜料理～餐點內容奧特曼菜頭粄滷水鮮蔬雞飯藥膳鮑魚軟骨湯焦糖鮭魚蒸蛋紅豆麻糬卷試營運期間為：即日起至4/30包車原價$41600「試營運優惠$37440！！！」ps: 所有價格都是車資+餐點每日18:30出發最晚需在出發前3天預約每週一公休 上車地點為 ”台北捷運市政府站3號出口“ 處預定及了解更多詳情歡迎私訊或致電（02）27965668#2023服務業務：黃琮傑公司名稱：e-go 台灣租車股份有限公司
James Wan,0,1天,https://www.facebook.com/groups/traveler168/posts/1859596927889016,
吳佩勳,0,1天,https://www.facebook.com/groups/traveler168/posts/1859562041225838,\小資族首選行程/團費21900起（含稅險）半自助東京五日遊讓大家玩的開心又可以顧到錢包忍野八海淺草雷門小江戶川越冰川神社團費只要：21900元 出發日期：5/13、5/15、5/165/26、5/27、5/28、5/30、6/106/16、6/17、6/18、6/209/4、9/5、9/7、9/19、9/25、9/2810/4、10/11、10/15、10/19、10/21「暑假23900元」出發日期：7月全數滿額8/1、8/2、8/4、8/7、8/9、8/12、8/23、8/26光機票就不止這個價錢了在猶豫就沒位子了了解詳情https://lin.ee/vnwRD3C服務業務：林佩玲聯絡電話：0978756521公司名稱：雙向國際旅行社交觀綜2124號| 品保北644號
跟著領隊玩,2,1天,https://www.facebook.com/groups/traveler168/posts/1859526147896094,老婆近年最滿意的甕缸雞，外皮酥脆內多汁，一撕開雞汁到處流，搭配雞油和胡椒更迷人，其他菜色也是鹹香美味，Google 8500多則4.3顆星好評！全文閱讀：https://taiwantour.info/pan-cut-field/～～～～番割田甕缸雞||店家資訊地址：268宜蘭縣蘇澳鎮海山西路309號電話：039909338營業時間：11:00–16:00／16:30–20:00
童小紫,1,1天,https://www.facebook.com/groups/traveler168/posts/1859477884567587,
高樂天,1,1天,https://www.facebook.com/groups/traveler168/posts/1859482297900479,置身在河樂廣場旁剛開幕半年日式拉麵專門店「森一男豚骨拉麵」。這間「森一男豚骨拉麵」是看到格友分享才收入口袋名單，今天就利用假日午餐時間專程前來品嚐，森一男拉麵就在知名河樂廣場旁的透天店面，這間拉麵店裡面設置座位數量相當多，因此來用餐遇到客滿的狀況相對會偏低，觀看菜單主打豚骨湯頭的拉麵店，以豚骨湯底為基礎發展出5重風味可選擇，小高品嚐覺得中規中矩定價合理範圍，值得樂天小高推薦給您品嚐看看。＃森一男豚骨拉麵 ＃日式拉麵 ＃拉麵 ＃台南 ＃懶人包 ＃台南美食 ＃中西區 ＃日式 ＃丼飯 ＃樂天小高 ＃美食 ＃高樂天 ＃樂天 ＃吃
朱濼藝,0,1天,https://www.facebook.com/groups/traveler168/posts/1859477124567663,個人套餐限時優惠中！！https://www.facebook.com/share/p/c8SzjVM3RHYd87Vv/?mibextid=WC7FNe
森林四季·泥地裡的小蝸牛與鹿,1,1天,https://www.facebook.com/groups/traveler168/posts/1859505411231501,4月份的森林女巫日 在 4/28（日），如果你剛好看到、剛好停留了一下，請接下這份召喚吧！這是緣起於森林生活、在自然、土地、植物之間的分享，在這一個場次還有梵唱帶領人Durga的陪伴。詳情請見：https://forms.gle/ubu6S3rQCre4r3yB7- …… 查看更多
小刀的美食、旅遊世界粉絲團,3,4天,https://www.facebook.com/groups/traveler168/posts/1857716431410399,*113/04/18 位於花蓮縣玉里鎮大同路239號的「北方早點」，距這次住宿旅館「山鄰山林青年文旅」，走路才3分鐘，方便。今天來吃燒餅，燒餅想夾什麼可以隨便配，我選了梅干絞肉、醬燒豆干及炒韭菜花，口味及嚼感有層次，好吃。原先還想加個蔥蛋，發現燒餅好像很厚，就算了。加上1杯豆漿才60元，CP值很高耶！山鄰山林青年文旅：https://www.facebook.com/share/p/6ozo4snPJ4HYknLt/?mibextid=oFDknk
跟著領隊玩,8,1天,https://www.facebook.com/groups/traveler168/posts/1859439344571441,新竹縣輕親旅行秘境踏青輕旅行，油桐花開的愛情車站，漫步瀑布步道，享用高冷活魚特色餐，品嘗北角吊橋的美味下午茶，好客好品希望工場DIY體驗，漫步內灣老街買伴手禮喔！全文閱讀：https://taiwantour.info/hsinchu-trip/
宏家旅遊,0,1天,https://www.facebook.com/groups/traveler168/posts/1859113417937367,宏家旅遊
宗韓,0,1天,https://www.facebook.com/groups/traveler168/posts/1859164224598953,"甜點控必吃宜蘭超美藍色英倫風古宅的皮皮手作千層 , 堪稱宜蘭平價版Lady M  , 在這麼有氣氛的藍屋門市享用各種絕美千層蛋糕 , 可欣賞街景非常愜意皮皮手作千層 宜蘭藍屋門市 宜蘭縣宜蘭市神農路二段117號"
大马阿豪在南法,0,1天,https://www.facebook.com/groups/traveler168/posts/1859281711253871,出國旅游的話會想试试水晶球住宿嗎？
gaga部落體驗營,0,1天,https://www.facebook.com/groups/traveler168/posts/1859409981241044,gaga部落體驗營
李硯豪,1,1天,https://www.facebook.com/groups/traveler168/posts/1859310644584311,#分享「探索世界奇景-第1集」-今晚10點YT頻道《給我5分鐘》首播接下來幾集，「5分鐘」要帶你展開一段既有趣又豐富的旅程，探索世界各大奇景。每一個都是人類和自然的非凡作品，展現了地球上不同文化和自然環境的獨特魅力。這些令人震撼的世界奇景不僅展示了地球的美麗和多樣性，也提醒我們要珍惜並保護這個星球上稀有的自然寶藏。每一個地方都有其獨特的故事和景色，展現了自然界的壯麗和人類對這些奇景的無窮追求。希望這趟虛擬旅程能激發你的探索激情，或許有一天，你也能親自體驗這些世界的奇觀。
跟著領隊玩,2,1天,https://www.facebook.com/groups/traveler168/posts/1859207654594610,#海景房 #溫泉旅館 #礁溪溫泉 住宿，海景第一排，房間就有雙湯池，沒什麼公社，賣點還有頂樓無邊際泳池，適合窩在房間！#煙波大飯店蘇澳四季雙泉館~~~~煙波大飯店蘇澳四季雙泉館地址： 270宜蘭縣蘇澳鎮中正路38號039966600
Cherry Huang Cherry,0,1天,https://www.facebook.com/groups/traveler168/posts/1859198897928819,#高雄出發茨城包機4月22前報名付訂第二人減3000元初夏盛豔日…… 查看更多
李冠毅,1,1天,https://www.facebook.com/groups/traveler168/posts/1859171211264921,嗨各位旅遊愛好者！我最近探索了日本九州的一個神秘之地 - 黑川溫泉！在這個以黑色為主題的溫泉景點，我發現了許多驚喜，從迷人的黑色溫泉到必吃的特色美食，還有古色古香的建築，每間都是溫泉飯店，絕對值得一遊！我已將我的探險之旅拍成影片，快來一起感受這片神奇的地方吧！點擊連結觀看影片，也歡迎分享給喜歡旅遊的朋友們一起探索！#黑川溫泉 #日本旅遊 #旅行探險 #美食探索
Kimmy World Words So 握握手-帶你玩泰國,2,2天,https://www.facebook.com/groups/traveler168/posts/1859135434601832,這集遠離熱門的曼谷​探索泰國的隱秘的小鎮－桑卡布里 Sangkhlaburi ​ 每…… 查看更多
